6/25/2022 3:20 PM	
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.02667
//WLCalib: 261S 	-0.2
//WLCalib: 362S 	-0.07
//WLCalib: 484S 	0.2
//WLCalib: 529S 	0.26
//WLCalib: 823S 	-0.41
//QSpecEnd: 	
190	0.979
190.5	1.007
191	1.026
191.5	1.069
192	1.081
192.5	1.081
193	1.088
193.5	1.138
194	1.217
194.5	1.262
195	1.314
195.5	1.342
196	1.367
196.5	1.383
197	1.357
197.5	1.369
198	1.362
198.5	1.398
199	1.412
199.5	1.428
200	1.455
200.5	1.464
201	1.519
201.5	1.577
202	1.619
202.5	1.678
203	1.727
203.5	1.781
204	1.796
204.5	1.83
205	1.835
205.5	1.826
206	1.828
206.5	1.837
207	1.842
207.5	1.85
208	1.862
208.5	1.864
209	1.874
209.5	1.89
210	1.895
210.5	1.901
211	1.921
211.5	1.949
212	1.971
212.5	1.976
213	1.991
213.5	2.004
214	2.015
214.5	2.025
215	2.033
215.5	2.041
216	2.05
216.5	2.062
217	2.074
217.5	2.086
218	2.1
218.5	2.112
219	2.122
219.5	2.132
220	2.142
220.5	2.153
221	2.166
221.5	2.179
222	2.194
222.5	2.209
223	2.224
223.5	2.239
224	2.259
224.5	2.284
225	2.314
225.5	2.352
226	2.404
226.5	2.471
227	2.552
227.5	2.639
228	2.723
228.5	2.795
229	2.85
229.5	2.883
230	2.892
230.5	2.879
231	2.854
231.5	2.829
232	2.785
232.5	2.761
233	2.739
233.5	2.705
234	2.664
234.5	2.605
235	2.541
235.5	2.442
236	2.343
236.5	2.237
237	2.133
237.5	2.056
238	1.987
238.5	1.909
239	1.854
239.5	1.801
240	1.76
240.5	1.721
241	1.701
241.5	1.691
242	1.684
242.5	1.68
243	1.682
243.5	1.686
244	1.69
244.5	1.699
245	1.712
245.5	1.732
246	1.748
246.5	1.767
247	1.786
247.5	1.805
248	1.826
248.5	1.849
249	1.869
249.5	1.897
250	1.925
250.5	1.955
251	1.979
251.5	2.014
252	2.054
252.5	2.072
253	2.081
253.5	2.096
254	2.082
254.5	2.065
255	2.07
255.5	2.063
256	2.078
256.5	2.117
257	2.141
257.5	2.165
258	2.188
258.5	2.202
259	2.2
259.5	2.209
260	2.211
260.5	2.198
261	2.216
261.5	2.214
262	2.203
262.5	2.182
263	2.171
263.5	2.134
264	2.13
264.5	2.106
265	2.074
265.5	2.053
266	2.047
266.5	2.044
267	2.044
267.5	2.027
268	2.027
268.5	2.014
269	2.013
269.5	1.979
270	1.948
270.5	1.908
271	1.885
271.5	1.867
272	1.843
272.5	1.833
273	1.826
273.5	1.821
274	1.807
274.5	1.789
275	1.765
275.5	1.734
276	1.708
276.5	1.679
277	1.652
277.5	1.632
278	1.605
278.5	1.58
279	1.554
279.5	1.528
280	1.499
280.5	1.47
281	1.445
281.5	1.418
282	1.39
282.5	1.365
283	1.337
283.5	1.309
284	1.278
284.5	1.246
285	1.21
285.5	1.173
286	1.137
286.5	1.101
287	1.066
287.5	1.031
288	0.998
288.5	0.968
289	0.937
289.5	0.908
290	0.881
290.5	0.853
291	0.825
291.5	0.793
292	0.757
292.5	0.717
293	0.673
293.5	0.627
294	0.579
294.5	0.534
295	0.492
295.5	0.451
296	0.415
296.5	0.382
297	0.352
297.5	0.325
298	0.301
298.5	0.28
299	0.261
299.5	0.243
300	0.226
300.5	0.211
301	0.196
301.5	0.183
302	0.171
302.5	0.159
303	0.148
303.5	0.138
304	0.129
304.5	0.12
305	0.112
305.5	0.104
306	0.097
306.5	0.09
307	0.084
307.5	0.079
308	0.075
308.5	0.071
309	0.067
309.5	0.063
310	0.061
310.5	0.058
311	0.055
311.5	0.053
312	0.051
312.5	0.049
313	0.048
313.5	0.046
314	0.044
314.5	0.043
315	0.042
315.5	0.041
316	0.04
316.5	0.039
317	0.038
317.5	0.038
318	0.037
318.5	0.035
319	0.034
319.5	0.033
320	0.032
320.5	0.032
321	0.032
321.5	0.031
322	0.031
322.5	0.03
323	0.03
323.5	0.029
324	0.029
324.5	0.028
325	0.028
325.5	0.027
326	0.028
326.5	0.028
327	0.028
327.5	0.028
328	0.028
328.5	0.028
329	0.028
329.5	0.027
330	0.027
330.5	0.027
331	0.027
331.5	0.027
332	0.027
332.5	0.027
333	0.028
333.5	0.028
334	0.028
334.5	0.029
335	0.029
335.5	0.029
336	0.029
336.5	0.029
337	0.029
337.5	0.029
338	0.029
338.5	0.029
339	0.029
339.5	0.03
340	0.03
340.5	0.031
341	0.031
341.5	0.031
342	0.032
342.5	0.032
343	0.032
343.5	0.032
344	0.032
344.5	0.032
345	0.032
345.5	0.032
346	0.033
346.5	0.033
347	0.034
347.5	0.034
348	0.034
348.5	0.035
349	0.035
349.5	0.035
350	0.035
350.5	0.035
351	0.035
351.5	0.035
352	0.035
352.5	0.035
353	0.036
353.5	0.036
354	0.037
354.5	0.037
355	0.037
355.5	0.037
356	0.037
356.5	0.037
357	0.038
357.5	0.038
358	0.038
358.5	0.038
359	0.038
359.5	0.038
360	0.038
360.5	0.039
361	0.039
361.5	0.039
362	0.039
362.5	0.039
363	0.04
363.5	0.04
364	0.04
364.5	0.04
365	0.04
365.5	0.04
366	0.04
366.5	0.04
367	0.04
367.5	0.04
368	0.04
368.5	0.04
369	0.039
369.5	0.039
370	0.039
370.5	0.039
371	0.039
371.5	0.039
372	0.039
372.5	0.04
373	0.04
373.5	0.04
374	0.04
374.5	0.04
375	0.039
375.5	0.039
376	0.039
376.5	0.039
377	0.038
377.5	0.038
378	0.038
378.5	0.037
379	0.037
379.5	0.037
380	0.037
380.5	0.037
381	0.037
381.5	0.036
382	0.036
382.5	0.035
383	0.035
383.5	0.034
384	0.034
384.5	0.034
385	0.034
385.5	0.034
386	0.033
386.5	0.033
387	0.033
387.5	0.032
388	0.032
388.5	0.032
389	0.032
389.5	0.032
390	0.031
390.5	0.031
391	0.03
391.5	0.03
392	0.029
392.5	0.029
393	0.029
393.5	0.029
394	0.029
394.5	0.029
395	0.029
395.5	0.028
396	0.028
396.5	0.027
397	0.027
397.5	0.026
398	0.026
398.5	0.026
399	0.025
399.5	0.025
400	0.025
400.5	0.025
401	0.024
401.5	0.025
402	0.025
402.5	0.025
403	0.025
403.5	0.025
404	0.024
404.5	0.024
405	0.023
405.5	0.022
406	0.022
406.5	0.022
407	0.022
407.5	0.022
408	0.022
408.5	0.022
409	0.021
409.5	0.021
410	0.021
410.5	0.02
411	0.02
411.5	0.02
412	0.02
412.5	0.019
413	0.019
413.5	0.019
414	0.019
414.5	0.019
415	0.019
415.5	0.019
416	0.018
416.5	0.018
417	0.017
417.5	0.017
418	0.016
418.5	0.016
419	0.016
419.5	0.017
420	0.017
420.5	0.017
421	0.017
421.5	0.017
422	0.018
422.5	0.017
423	0.017
423.5	0.017
424	0.017
424.5	0.017
425	0.017
425.5	0.017
426	0.016
426.5	0.016
427	0.016
427.5	0.016
428	0.015
428.5	0.015
429	0.015
429.5	0.014
430	0.014
430.5	0.014
431	0.014
431.5	0.014
432	0.014
432.5	0.014
433	0.014
433.5	0.014
434	0.014
434.5	0.014
435	0.013
435.5	0.013
436	0.012
436.5	0.012
437	0.013
437.5	0.013
438	0.013
438.5	0.013
439	0.013
439.5	0.013
440	0.013
440.5	0.012
441	0.012
441.5	0.012
442	0.012
442.5	0.012
443	0.013
443.5	0.013
444	0.013
444.5	0.013
445	0.012
445.5	0.012
446	0.011
446.5	0.01
447	0.01
447.5	0.01
448	0.011
448.5	0.011
449	0.011
449.5	0.011
450	0.011
450.5	0.011
451	0.011
451.5	0.011
452	0.01
452.5	0.01
453	0.01
453.5	0.01
454	0.01
454.5	0.01
455	0.011
455.5	0.011
456	0.011
456.5	0.011
457	0.01
457.5	0.01
458	0.01
458.5	0.009
459	0.009
459.5	0.009
460	0.009
460.5	0.009
461	0.009
461.5	0.009
462	0.009
462.5	0.009
463	0.01
463.5	0.01
464	0.01
464.5	0.009
465	0.009
465.5	0.009
466	0.009
466.5	0.009
467	0.009
467.5	0.009
468	0.009
468.5	0.009
469	0.009
469.5	0.009
470	0.009
470.5	0.009
471	0.009
471.5	0.009
472	0.009
472.5	0.009
473	0.009
473.5	0.008
474	0.008
474.5	0.008
475	0.008
475.5	0.008
476	0.008
476.5	0.008
477	0.008
477.5	0.008
478	0.008
478.5	0.008
479	0.008
479.5	0.008
480	0.008
480.5	0.008
481	0.008
481.5	0.007
482	0.007
482.5	0.007
483	0.007
483.5	0.007
484	0.006
484.5	0.007
485	0.007
485.5	0.007
486	0.007
486.5	0.007
487	0.008
487.5	0.008
488	0.007
488.5	0.008
489	0.007
489.5	0.008
490	0.008
490.5	0.008
491	0.008
491.5	0.007
492	0.007
492.5	0.007
493	0.008
493.5	0.008
494	0.007
494.5	0.007
495	0.007
495.5	0.007
496	0.007
496.5	0.007
497	0.007
497.5	0.007
498	0.007
498.5	0.007
499	0.008
499.5	0.008
500	0.008
500.5	0.007
501	0.007
501.5	0.007
502	0.007
502.5	0.006
503	0.006
503.5	0.006
504	0.006
504.5	0.006
505	0.005
505.5	0.005
506	0.006
506.5	0.006
507	0.006
507.5	0.007
508	0.007
508.5	0.007
509	0.007
509.5	0.007
510	0.007
510.5	0.006
511	0.007
511.5	0.006
512	0.007
512.5	0.007
513	0.007
513.5	0.007
514	0.007
514.5	0.007
515	0.007
515.5	0.006
516	0.006
516.5	0.005
517	0.006
517.5	0.006
518	0.006
518.5	0.006
519	0.007
519.5	0.007
520	0.007
520.5	0.007
521	0.007
521.5	0.007
522	0.007
522.5	0.007
523	0.007
523.5	0.007
524	0.007
524.5	0.006
525	0.006
525.5	0.007
526	0.007
526.5	0.008
527	0.008
527.5	0.008
528	0.008
528.5	0.008
529	0.007
529.5	0.007
530	0.007
530.5	0.007
531	0.007
531.5	0.007
532	0.007
532.5	0.007
533	0.007
533.5	0.006
534	0.007
534.5	0.006
535	0.006
535.5	0.006
536	0.006
536.5	0.006
537	0.007
537.5	0.007
538	0.007
538.5	0.007
539	0.006
539.5	0.006
540	0.005
540.5	0.005
541	0.005
541.5	0.005
542	0.005
542.5	0.005
543	0.006
543.5	0.006
544	0.007
544.5	0.007
545	0.007
545.5	0.007
546	0.006
546.5	0.005
547	0.005
547.5	0.006
548	0.006
548.5	0.006
549	0.006
549.5	0.006
550	0.006
550.5	0.006
551	0.006
551.5	0.006
552	0.006
552.5	0.006
553	0.006
553.5	0.006
554	0.006
554.5	0.006
555	0.006
555.5	0.006
556	0.006
556.5	0.006
557	0.006
557.5	0.007
558	0.007
558.5	0.007
559	0.007
559.5	0.007
560	0.006
560.5	0.006
561	0.006
561.5	0.006
562	0.006
562.5	0.006
563	0.006
563.5	0.006
564	0.007
564.5	0.006
565	0.006
565.5	0.006
566	0.006
566.5	0.006
567	0.006
567.5	0.006
568	0.006
568.5	0.006
569	0.006
569.5	0.006
570	0.005
570.5	0.005
571	0.005
571.5	0.005
572	0.005
572.5	0.005
573	0.006
573.5	0.006
574	0.006
574.5	0.006
575	0.006
575.5	0.006
576	0.006
576.5	0.006
577	0.006
577.5	0.006
578	0.005
578.5	0.006
579	0.006
579.5	0.007
580	0.007
580.5	0.007
581	0.007
581.5	0.006
582	0.006
582.5	0.006
583	0.005
583.5	0.005
584	0.006
584.5	0.006
585	0.006
585.5	0.006
586	0.006
586.5	0.006
587	0.006
587.5	0.006
588	0.007
588.5	0.007
589	0.006
589.5	0.006
590	0.005
590.5	0.005
591	0.005
591.5	0.004
592	0.004
592.5	0.004
593	0.005
593.5	0.005
594	0.006
594.5	0.007
595	0.007
595.5	0.007
596	0.007
596.5	0.007
597	0.006
597.5	0.006
598	0.006
598.5	0.006
599	0.006
599.5	0.006
600	0.006
600.5	0.006
601	0.006
601.5	0.005
602	0.004
602.5	0.004
603	0.004
603.5	0.004
604	0.004
604.5	0.004
605	0.005
605.5	0.006
606	0.006
606.5	0.006
607	0.006
607.5	0.006
608	0.006
608.5	0.005
609	0.005
609.5	0.005
610	0.005
610.5	0.006
611	0.005
611.5	0.005
612	0.005
612.5	0.005
613	0.004
613.5	0.005
614	0.005
614.5	0.005
615	0.005
615.5	0.006
616	0.006
616.5	0.006
617	0.005
617.5	0.005
618	0.005
618.5	0.005
619	0.004
619.5	0.004
620	0.005
620.5	0.005
621	0.006
621.5	0.007
622	0.007
622.5	0.007
623	0.007
623.5	0.007
624	0.007
624.5	0.006
625	0.006
625.5	0.006
626	0.005
626.5	0.006
627	0.006
627.5	0.006
628	0.005
628.5	0.006
629	0.006
629.5	0.005
630	0.005
630.5	0.005
631	0.006
631.5	0.007
632	0.007
632.5	0.007
633	0.007
633.5	0.007
634	0.006
634.5	0.006
635	0.005
635.5	0.005
636	0.005
636.5	0.006
637	0.006
637.5	0.006
638	0.006
638.5	0.005
639	0.005
639.5	0.005
640	0.005
640.5	0.005
641	0.006
641.5	0.007
642	0.008
642.5	0.008
643	0.007
643.5	0.006
644	0.006
644.5	0.006
645	0.005
645.5	0.004
646	0.004
646.5	0.004
647	0.004
647.5	0.004
648	0.003
648.5	0.004
649	0.004
649.5	0.004
650	0.004
650.5	0.004
651	0.005
651.5	0.005
652	0.005
652.5	0.005
653	0.005
653.5	0.005
654	0.005
654.5	0.005
655	0.005
655.5	0.005
656	0.005
656.5	0.006
657	0.006
657.5	0.006
658	0.005
658.5	0.006
659	0.006
659.5	0.005
660	0.005
660.5	0.004
661	0.004
661.5	0.004
662	0.003
662.5	0.003
663	0.004
663.5	0.004
664	0.004
664.5	0.004
665	0.004
665.5	0.004
666	0.003
666.5	0.003
667	0.002
667.5	0.003
668	0.004
668.5	0.004
669	0.004
669.5	0.004
670	0.004
670.5	0.004
671	0.003
671.5	0.003
672	0.004
672.5	0.004
673	0.004
673.5	0.004
674	0.004
674.5	0.003
675	0.003
675.5	0.004
676	0.003
676.5	0.003
677	0.003
677.5	0.004
678	0.004
678.5	0.004
679	0.005
679.5	0.006
680	0.006
680.5	0.006
681	0.005
681.5	0.004
682	0.003
682.5	0.003
683	0.003
683.5	0.003
684	0.003
684.5	0.003
685	0.003
685.5	0.003
686	0.004
686.5	0.005
687	0.005
687.5	0.005
688	0.005
688.5	0.004
689	0.004
689.5	0.003
690	0.002
690.5	0.001
691	0.002
691.5	0.002
692	0.003
692.5	0.004
693	0.004
693.5	0.004
694	0.004
694.5	0.004
695	0.003
695.5	0.002
696	0.001
696.5	0
697	0.001
697.5	0.002
698	0.002
698.5	0.003
699	0.003
699.5	0.003
700	0.003
700.5	0.003
701	0.002
701.5	0.002
702	0.002
702.5	0.002
703	0.001
703.5	0.001
704	0.001
704.5	0.001
705	0.001
705.5	0.001
706	0.001
706.5	0.002
707	0.002
707.5	0.002
708	0.002
708.5	0.003
709	0.003
709.5	0.003
710	0.002
710.5	0.001
711	0.001
711.5	0.002
712	0.002
712.5	0.002
713	0.002
713.5	0.003
714	0.002
714.5	0.001
715	0.001
715.5	0
716	0.001
716.5	0.001
717	0.001
717.5	0.001
718	0.001
718.5	0.001
719	0.001
719.5	0.001
720	0.001
720.5	0.002
721	0.003
721.5	0.003
722	0.003
722.5	0.004
723	0.004
723.5	0.003
724	0.002
724.5	0.002
725	0.001
725.5	0.001
726	0.001
726.5	0.001
727	0.001
727.5	0.001
728	0.002
728.5	0.002
729	0.002
729.5	0.003
730	0.003
730.5	0.003
731	0.003
731.5	0.003
732	0.002
732.5	0.003
733	0.003
733.5	0.003
734	0.003
734.5	0.003
735	0.002
735.5	0.001
736	0.001
736.5	0
737	0
737.5	0
738	0.001
738.5	0.002
739	0.003
739.5	0.003
740	0.003
740.5	0.003
741	0.003
741.5	0.003
742	0.003
742.5	0.003
743	0.003
743.5	0.003
744	0.002
744.5	0.002
745	0.002
745.5	0.002
746	0.002
746.5	0.002
747	0.002
747.5	0.002
748	0.001
748.5	0
749	0
749.5	0
750	0
750.5	0
751	0
751.5	0
752	0
752.5	0
753	-0.001
753.5	-0.001
754	-0.001
754.5	0
755	0.001
755.5	0.002
756	0.003
756.5	0.003
757	0.002
757.5	0.002
758	0.002
758.5	0.001
759	0.001
759.5	0.002
760	0.002
760.5	0.003
761	0.003
761.5	0.002
762	0.001
762.5	0
763	-0.001
763.5	-0.002
764	-0.002
764.5	-0.002
765	-0.001
765.5	0.001
766	0.001
766.5	0.001
767	0.001
767.5	0.001
768	0
768.5	0
769	0
769.5	0.001
770	0.003
770.5	0.004
771	0.004
771.5	0.004
772	0.003
772.5	0.002
773	0.002
773.5	0.002
774	0.003
774.5	0.003
775	0.004
775.5	0.004
776	0.004
776.5	0.003
777	0.003
777.5	0.002
778	0.002
778.5	0.002
779	0.003
779.5	0.004
780	0.005
780.5	0.006
781	0.007
781.5	0.007
782	0.007
782.5	0.006
783	0.004
783.5	0.003
784	0.002
784.5	0.002
785	0.002
785.5	0.003
786	0.003
786.5	0.004
787	0.004
787.5	0.003
788	0.003
788.5	0.002
789	0.002
789.5	0.002
790	0.002
790.5	0.001
791	0.001
791.5	0.001
792	0.001
792.5	0
793	0.001
793.5	0
794	0.001
794.5	0
795	0
795.5	-0.001
796	0
796.5	0.001
797	0.002
797.5	0.003
798	0.004
798.5	0.004
799	0.004
799.5	0.003
800	0.001
800.5	0
801	0
801.5	0
802	0.001
802.5	0.002
803	0.003
803.5	0.003
804	0.003
804.5	0.003
805	0.002
805.5	0.001
806	0.002
806.5	0.002
807	0.003
807.5	0.003
808	0.004
808.5	0.005
809	0.005
809.5	0.005
810	0.005
810.5	0.005
811	0.005
811.5	0.004
812	0.004
812.5	0.004
813	0.004
813.5	0.004
814	0.004
814.5	0.003
815	0.002
815.5	0
816	-0.001
816.5	-0.002
817	-0.002
817.5	-0.002
818	-0.001
818.5	0
819	0.001
819.5	0.002
820	0.001
820.5	0
821	-0.001
821.5	-0.002
822	-0.003
822.5	-0.004
823	-0.004
823.5	-0.003
824	-0.001
824.5	0
825	0.001
825.5	0
826	-0.001
826.5	-0.001
827	-0.002
827.5	-0.001
828	0
828.5	0
829	0.001
829.5	0.002
830	0.001
830.5	0
831	0
831.5	0
832	-0.001
832.5	-0.001
833	-0.002
833.5	-0.002
834	-0.001
834.5	-0.001
835	-0.001
835.5	-0.001
836	0
836.5	0
837	-0.001
837.5	-0.003
838	-0.003
838.5	-0.003
839	-0.003
839.5	-0.004
840	-0.005
840.5	-0.005
841	-0.003
841.5	-0.002
842	0
842.5	0.003
843	0.004
843.5	0.004
844	0.004
844.5	0.003
845	0.001
845.5	0
846	0
846.5	-0.002
847	-0.002
847.5	-0.001
848	-0.002
848.5	-0.003
849	-0.003
849.5	-0.002
850	-0.003
